State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19
United States,985.5717021431385,1074.7157440313556,1173.4107438063916,1218.7910744362243,1239.3767512861643,1189.37994731695,1163.6711111313566,1367.2820155637137,1791.4134494027944,1749.1801188482325,1374.2964344005406,1232.5705774967375,1178.5219484694212,1175.8281052425175,1184.7761791362586,1188.4232964141063,1161.9492769295257,1205.3897650271026,#d3d3d3,1,1.090449067981936,1.1905889153014384,1.236633592244935,1.2575206335481461,1.20679190030581,1.1807066990670883,1.38729836965747,1.8176388846263976,1.7747872783325835,1.3944154762277723,1.2506148206330363,1.1957749455536415,1.193041665751628,1.2021207351631011,1.2058212444917649,1.1789596580369057,1.2230360940822134
Alabama,994.9831847070391,1084.7577488836853,1165.6728252749365,1206.2683295731363,1250.5223438279863,1150.321168398649,1145.6455476462168,1153.1963416560025,1769.406838758315,1652.0413032886606,1180.740354769707,1193.3093163136589,1156.4166689060353,1157.8507385727892,1148.9667632384912,1136.7837414351113,1161.2973201823381,1174.3008366250829,#d3d3d3,1,1.0902272174610461,1.1715502766191521,1.2123504679411317,1.2568276158317064,1.15612121499053,1.151422019240997,1.1590108851895295,1.7783283837900192,1.6603710783062977,1.1866937782645663,1.1993261139031355,1.162247449685824,1.1636887500904898,1.154759980769716,1.1425155308225874,1.1671527097458116,1.1802217913570487
Alaska,2663.465235630449,2706.760853672897,2927.513500626895,3018.0916838553144,2776.670478050515,2649.39058973363,2778.910354074196,2832.6595119122,3266.413856369016,3654.820808528675,2995.8859195813893,2679.6469961774496,2555.520220845232,2816.22713870183,2466.0492543544533,2753.491071262747,3058.1344858302127,2992.867820778525,#d3d3d3,1,1.0162553719355003,1.0991371171150073,1.1331447632508425,1.0425029923070388,0.9947156637494133,1.0433439554229516,1.0635241166351106,1.2263775072685892,1.372205185799457,1.124807592569255,1.0060754540102606,0.9594719640635121,1.05735456991434,0.9258800232737909,1.033800266820824,1.148178862978981,1.123674445133167
Arizona,1025.1379510110687,1161.0718502204447,1219.1626924243537,1239.0370585662372,1221.2877798237362,1220.3935143113972,1198.8524248122628,1254.9129110025158,1914.7011497680478,1507.8517034410752,1239.8823106076832,1369.5606738396161,1259.355951083295,1238.6743639152003,1315.2839747249807,1313.4939061465618,1298.7970934868704,1326.1938045980435,#d3d3d3,1,1.1326005920230615,1.1892669578976403,1.2086539741741147,1.1913399349026241,1.1904675981488664,1.169454729121933,1.2241405264187377,1.8677497480993894,1.4708768726725194,1.209478499342276,1.335976950700978,1.2284746163589229,1.208300173350841,1.2830311992915178,1.2812850259334314,1.2669486016061529,1.2936735034441469
Arkansas,1047.759063035035,1173.9901810895992,1269.413772437287,1279.2755509578187,1298.449131226994,1264.74675063786,1227.2475091857348,1329.332053407418,1938.0811618364512,1992.419037229144,1558.9404028330594,1310.7758899385842,1241.3939899344914,1297.0538221312522,1317.0137346072447,1301.326013396027,1252.2810537482012,1271.1343205072635,#d3d3d3,1,1.1204772380483272,1.2115512212895458,1.22096347919163,1.2392630873225636,1.2070969321651854,1.171306985053202,1.2687383009188704,1.8497393439121657,1.901600384593878,1.4878806185816131,1.2510279664312045,1.184808639439067,1.2379313793517444,1.2569814770127226,1.2420088351481176,1.1951994479730186,1.2131933431577095
California,1177.007080449876,1302.1283085589657,1444.0992076795185,1503.0476820409606,1510.263307229169,1433.6874199695117,1397.221036579738,1864.837579205631,1848.4917468554831,1845.2688887728762,1577.7451270794375,1381.4505380584867,1283.8705003014486,1298.657893894242,1318.1721369748427,1329.0494957729888,1312.286199588702,1434.0098748183811,#d3d3d3,1,1.1063045670560163,1.226924826253003,1.2770081905254684,1.2831386763212298,1.218078840631551,1.1870965432473795,1.5843894316190965,1.570501807133524,1.5677636264240458,1.3404720781088175,1.173697729609637,1.0907925038231099,1.1033560591648002,1.1199356052055445,1.1291771458715432,1.1149348388687004,1.2183528023215235
Colorado,649.3163251996717,740.7003295942706,782.6293989970648,814.5446408890108,850.3995178839205,831.3305695687178,816.38428549074,814.0864078311603,1010.5542585944372,1330.1859835785228,931.4895588764855,895.4530061075085,848.5658792561387,877.4288178232704,861.7477495402799,822.1614293662383,796.2861089005163,800.8541613214064,#d3d3d3,1,1.1407388061073271,1.2053129863266534,1.254465056979015,1.3096844864056258,1.2803167536455744,1.2572982594264714,1.253759340766336,1.5563358248904045,2.048594701772632,1.4345697508684114,1.3790705259599736,1.3068605336469796,1.3513118086988674,1.3271616869871294,1.2661955312973454,1.2263454313360285,1.233380603937742
Connecticut,746.6949150289828,880.8612245224533,874.2839998417683,949.5897188306692,887.865152195351,862.661163513959,838.9689296749457,869.4387010191788,1760.9280636722247,1720.5716835968863,1085.528068637117,918.5228570795321,886.9422139829555,940.3202244418698,997.2838387663198,998.570755148203,985.6657225992907,1057.3077577788067,#d3d3d3,1,1.179680223867954,1.1708717740602708,1.2717238322077111,1.1890601292776832,1.1553060642986634,1.1235765943877913,1.1643827800614281,2.3582965790035875,2.3042499004162935,1.4537772345683946,1.2301180021346199,1.1878240980769623,1.259309800449587,1.3355974691854042,1.3373209527072294,1.3200380808285432,1.4159836052154815
Delaware,1104.8557513832584,1149.6830928109703,1275.0753944870353,1250.1441906977748,1213.7563296500175,1104.8620186882665,1094.0655720962534,1107.9521966820462,1793.7344366152504,1836.6729878099118,1724.424905130955,1393.4341618769083,1188.8442035417897,1207.9845131950544,1178.6836444154765,1188.713601170801,1186.4946070605395,1197.9903425751418,#d3d3d3,1,1.040573026272062,1.1540650378030481,1.1314999167381063,1.0985654264191662,1.0000056725097375,0.9902338569777133,1.0028025787935766,1.6235010175486972,1.6623645082269176,1.5607692705332872,1.2611910289034158,1.0760175724780174,1.093341381155577,1.0668212958477041,1.0758993648560495,1.0738909632095146,1.0842957020183681
District of Columbia,2938.848837168965,3143.3136830918,3491.4011139591853,3560.631409208738,2719.9027572636237,2935.1487631668174,1759.2960651013661,2018.9510403993831,2146.4252380005155,4030.7933451927765,3435.9289104557142,3217.626690282536,3236.482977056717,3393.508001866927,3407.1699266762116,3614.5039672375333,2880.7056146488812,2708.6310508187494,#d3d3d3,1,1.069573107448357,1.1880165695498996,1.211573512790384,0.9254993733817711,0.9987409784554581,0.598634418637238,0.6869870320871173,0.7303625864841002,1.3715551797743015,1.1691410823857118,1.0948595414598192,1.1012757567260476,1.1547065500435678,1.159355283464796,1.2299046897285935,0.9802156470980338,0.9216639578604567
Florida,1002.0585900896998,1072.9006312969211,1141.1055877448537,1162.9373250629676,1175.5785317106206,1162.7212914208103,1121.5946043133501,1212.0563726318883,1867.7768506686023,2046.9264245264494,1284.524446089751,1236.2250464714866,1238.5542643141032,1216.1354997899268,1204.836591129823,1192.7063035531548,1215.4686917884228,1221.9246257701254,#d3d3d3,1,1.0706965060804277,1.1387613449256564,1.1605482319740072,1.1731634690196988,1.1603326421429396,1.119290444097635,1.2095663712871225,1.8639397627452174,2.0427212987049166,1.2818855691609472,1.2336853939457026,1.236009826734017,1.2136371184454033,1.2023614218226217,1.1902560542357001,1.2129716803082538,1.2194143514709497
Georgia,874.5918345197172,978.153202118684,1074.3031009507058,1170.193261523933,1159.5288989722987,1124.2624226273078,1053.6253200521794,1176.2829715468315,1828.2420447741106,1559.0348291429937,1241.7663872302808,1174.7127459232968,1144.3813522503078,1140.760109474726,1112.4615362845286,1112.1641293014936,1063.3730998854658,1077.1229044987858,#d3d3d3,1,1.1184110844755801,1.2283479659293415,1.3379878651240158,1.3257943342325567,1.2854709800082886,1.2047051875699006,1.3449507817469943,2.090394596215378,1.7825856217822327,1.4198238975238064,1.3431554006771527,1.308474773125164,1.3043342785165326,1.2719779586044704,1.271637906283723,1.2158507064834627,1.2315721025343083
Hawaii,1310.6217504880888,1289.0752651532255,1752.6196241718885,1709.0636956926696,1569.5209699910683,1762.367699557936,2066.5476801571635,2582.5250448058127,2479.4898087267165,2215.814629122464,1941.580010747267,1841.0756511477687,1655.5893256946797,1521.9273493460769,1525.2828317686606,1449.468145713377,1526.6923295350468,1648.396168707166,#d3d3d3,1,0.9835601039530748,1.3372428952283109,1.3040098678785066,1.1975392361728796,1.3446806440543295,1.5767689490789851,1.9704579477977184,1.8918424082335956,1.6906591305212753,1.4814190364414468,1.4047345471430897,1.2632091029147972,1.1612254632423853,1.1637856850770483,1.1059393338875847,1.1648611271455638,1.257720748258059
Idaho,801.4452214788112,909.6247344354274,958.5353699491211,999.7189198734255,990.7867340655434,957.858362312176,922.7509697413118,963.362325092226,1945.5736867934645,1261.6041426206777,1106.8705862498828,957.1169595071841,890.6686620784901,907.396208924224,929.5029558360294,881.745341998817,883.387745517785,873.6576762196169,#d3d3d3,1,1.1349805452168091,1.196008590806057,1.2473951969278245,1.2362500985873532,1.1951638572936456,1.1513587516794592,1.2020314043605482,2.427581617123538,1.5741614134186117,1.381093250774528,1.1942387749734542,1.1113281833972952,1.1321999116170587,1.1597835147372002,1.100194147232967,1.102243449512089,1.0901027953071585
Illinois,995.6759201123223,1092.7259071445214,1144.2465309792442,1167.19101822023,1142.2005257221417,1097.5065007034273,1134.5844807629446,1865.2245970880736,2121.995016390757,1600.5825952541047,1305.8311055799084,1222.19419740301,1203.9157914970144,1182.532139625632,1220.6162435158928,1194.9174871583152,1184.5857069684369,1192.6682378704222,#d3d3d3,1,1.09747146141814,1.1492158320451917,1.1722599639534912,1.1471609412762438,1.1022728164196414,1.1395118209095105,1.8733250040612184,2.131210541027621,1.6075336993924116,1.3115021456304752,1.2275020141745863,1.2091442277334583,1.1876677096823136,1.225917207456614,1.2001068450299737,1.189730195378034,1.1978478275701165
Indiana,747.907807919866,811.0557408266237,881.0550044052738,923.1788534878436,918.0592713190539,917.5960003495729,936.4805871311288,1610.7720591616521,1682.4605850954617,1146.9764602652288,1212.7942732847443,1069.6925184914471,999.3978462979674,990.8928560254697,1012.3049579998745,971.1181146435961,983.0864602542897,967.4172205365744,#d3d3d3,1,1.0844327766578468,1.1780262153643326,1.2343484634228568,1.2275032585532504,1.2268838359926417,1.2521337218496686,2.1537040288984883,2.249556118119478,1.533580005609623,1.6215825806897959,1.4302464918323978,1.3362580731408102,1.3248863637102692,1.3535156970955666,1.2984462849031333,1.314448719272659,1.2934979556199895
Iowa,801.1121084644849,878.8757680198388,999.037536959555,1005.2435789418338,1046.099454929453,1003.1401474615953,966.7384914328287,1043.365643357596,1732.324669472891,1385.2396881820728,1149.737312096016,1006.0995500212402,978.5783595921451,970.8838666890207,972.7257881602492,978.8314837138261,977.5001162986994,974.8169483043151,#d3d3d3,1,1.0970696344914894,1.2470633340874595,1.2548101174860704,1.305809067016279,1.2521844781304623,1.2067455743314188,1.302396546417761,2.162399807928616,1.7291458630393222,1.4351765501332283,1.2558785960053216,1.221524864313704,1.2119201001092623,1.2142193057407424,1.221840830230342,1.2201789312263704,1.2168296272200596
Kansas,853.575280623274,921.105738867882,983.9224845630085,1006.3783031416767,930.9718086954023,916.6074511234692,880.9456521417301,950.6466781273125,1669.767003156763,1452.816947428945,939.8426095553531,942.7165218008244,911.2895366775596,1023.491157812138,973.7546402065125,1134.4860451738566,1079.7182514012645,1163.181874329945,#d3d3d3,1,1.0791148241726234,1.152707332204555,1.1790152854553464,1.0906733475407278,1.0738448874177444,1.0320655625107493,1.1137232997576474,1.9562035605547434,1.7020372782680744,1.1010658706858139,1.1044327819714508,1.0676147228773343,1.1990637276477745,1.1407952670507098,1.329098992118731,1.2649361760017965,1.3627173850215046
Kentucky,1056.2443346570833,1060.2893370432012,1244.664834077882,1265.1843939415908,1274.2306608427066,1300.7162396733045,1252.4678549079972,1268.2104163562747,1821.4403310547234,1982.8061598306358,1604.9802540705361,1386.5009068339396,1295.8207053593842,1319.556580725995,1363.2564230614696,1390.3760624097529,1370.0393189212052,1408.4522231593,#d3d3d3,1,1.0038296085984983,1.1783872284455572,1.1978141348822868,1.2063786938619594,1.2314539325747869,1.1857747434116361,1.2006790235405216,1.7244497994359098,1.8772230011291535,1.5195160829824508,1.3126706211248709,1.2268190823291667,1.2492910375272193,1.2906638912331396,1.3163394271469846,1.2970856022304702,1.3334530439082197
Louisiana,1309.0724700530886,1421.2875921250204,1482.6045544638762,1554.9748740433986,2507.391967632037,2311.8735199773864,2328.2541842357077,2204.394950848854,2727.49293775543,2579.0727734227994,2555.0648388619034,2004.681367110219,2060.168735833902,2000.2624569849177,1643.8491750144176,1662.9476981511655,1603.329575261594,1628.7473752219294,#d3d3d3,1,1.0857210923298852,1.1325610983200571,1.1878447600233604,1.9153958432342186,1.7660393697559233,1.7785525534283726,1.6839365285555628,2.0835308969906134,1.9701527855965122,1.951813132819365,1.5313753920964517,1.573762173571913,1.5279997882040848,1.2557358073138245,1.2703251624287275,1.2247828992970664,1.2441995477575634
Maine,961.0396870483141,1093.0353500832118,1289.949624804765,1317.3223841378633,1313.96710627955,1270.0506494041197,1196.1982568305718,1548.385577625667,1987.4049635425174,1773.9190760030626,1426.4340075921073,1164.3730756677871,1103.4076015021597,1116.920504616207,1098.053913460338,1079.7520627603076,1066.857482961679,1039.4779928339697,#d3d3d3,1,1.1373467348058248,1.342243865876806,1.370726310152515,1.3672350101536372,1.3215381908991555,1.2446918404634373,1.6111567487720468,2.0679738728028254,1.8458333197990842,1.4842612920317373,1.2115764742702566,1.1481394747506284,1.1622001876391357,1.1425687495100665,1.1235249462762567,1.1101076233785598,1.081618175443479
Maryland,870.9440434529441,916.4509671431141,910.5638903738476,1026.8720234749853,981.8295915035557,964.0351148251605,992.5525862812145,971.6328677583947,1383.6102616356961,1688.9274641821696,1120.6165029551455,1055.2749642509325,1015.8511182775743,1002.8411154967331,995.8215350379929,1003.6443906647171,971.1539203424056,1012.0801012373711,#d3d3d3,1,1.0522501118553533,1.0454906916451563,1.1790332928896892,1.1273165008523336,1.1068852494853143,1.1396284224485207,1.1156088328088907,1.5886327853512103,1.9391917045396498,1.2866687720974015,1.2116449640865448,1.1663793166896597,1.1514414996408608,1.1433817620360083,1.1523638036327446,1.115058915257253,1.16204951264708
Massachusetts,889.3953675094136,1024.8071182872993,1094.339940361055,1053.2430064697235,1004.2367586855368,990.2083136203689,946.865825449331,1495.285533788587,1373.67882922782,1483.1856625208598,1181.1245101342638,972.2249286248111,926.1154295909422,909.8583233342544,883.0065959271027,978.6241724699112,924.1488077453392,901.2743811808666,#d3d3d3,1,1.152251468497167,1.2304313473383053,1.1842236253367664,1.1291229922837525,1.1133499788662755,1.064617446907614,1.6812382753643704,1.5445086397004204,1.6676336719340528,1.3280083900614228,1.0931301917473961,1.0412865452451774,1.023007715772282,0.9928167249170619,1.1003252414169484,1.0390753555792023,1.0133562801262592
Michigan,1031.1113744150828,1057.6836642421226,1105.4854279437275,1147.3256914226458,1122.6079915284315,1124.9085130261149,1064.7465209562058,1588.7922304182814,1827.8414588428932,1987.282340445967,1461.519396291253,1296.7385663790985,1235.7411020475988,1259.2225344153446,1235.8349943438334,1196.6552313381144,1206.3381780011177,1223.3155060503593,#d3d3d3,1,1.025770533122199,1.0721299903910328,1.11270782176512,1.0887359206615792,1.0909670293029599,1.0326202846517945,1.5408541403391594,1.772690617325185,1.9273207431867292,1.4174214663477331,1.2576125126295865,1.1984555041385283,1.2212284391971353,1.198546563454296,1.160548958173349,1.1699397445648736,1.1864048214425993
Minnesota,693.3131892526453,773.3770730716648,833.6022475389663,851.9309433390994,868.817634283405,831.2270341015106,826.1878728784909,845.8120468427337,1815.4613893372175,1208.7882659126503,1029.9839770622955,881.8727368102117,844.5042563747044,835.2337386981106,831.310195923969,832.4130249032357,818.236162874584,828.7381502296478,#d3d3d3,1,1.1154801106630094,1.202345866862197,1.2287822538864948,1.2531387657862736,1.1989199787148563,1.1916517465491712,1.2199566659830516,2.6185300056013476,1.7434952697433315,1.485596975549482,1.2719687876713026,1.2180703749268567,1.2046990474801844,1.1990399271360712,1.200630592071287,1.180182600819406,1.1953301380621122
